sku,category,product_type,product_description,color,frame,paper_type,size_cm,size_inches,substrate_weight,product_price,product_currency,source_country,destination_country,shipping_method,shipping_price,plus_one_shipping_price,shipping_currency,minimum_shipping_days,maximum_shipping_days,tracked_shipping
GLOBAL-BOXM-11X14,Wall art,Framed prints,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 28x35cm/11x14""",black,Box,EMA,28x35cm,"11x14""",200gsm,45.00,USD,US,US,Budget,24.80,11.00,USD,1,5,Tracked
GLOBAL-BOXM-11X14,Wall art,Framed prints,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 28x35cm/11x14""",black,Box,EMA,28x35cm,"11x14""",200gsm,45.00,USD,US,US,Express,41.00,17.00,USD,1,3,Tracked
GLOBAL-BOXM-11X14,Wall art,Framed prints,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 28x35cm/11x14""",black,Box,EMA,28x35cm,"11x14""",200gsm,45.00,USD,US,US,Overnight,53.95,22.00,USD,1,1,Tracked
GLOBAL-BOXM-11X14,Wall art,Framed prints,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 28x35cm/11x14""",black,Box,EMA,28x35cm,"11x14""",200gsm,45.00,USD,US,US,Standard,24.80,11.00,USD,1,5,Tracked
GLOBAL-BOXM-11X14,Wall art,Framed prints,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 28x35cm/11x14""",natural,Box,EMA,28x35cm,"11x14""",200gsm,45.00,USD,US,US,Budget,24.80,11.00,USD,1,5,Tracked
GLOBAL-BOXM-11X14,Wall art,Framed prints,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 28x35cm/11x14""",natural,Box,EMA,28x35cm,"11x14""",200gsm,45.00,USD,US,US,Express,41.00,17.00,USD,1,3,Tracked
GLOBAL-BOXM-11X14,Wall art,Framed prints,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 28x35cm/11x14""",natural,Box,EMA,28x35cm,"11x14""",200gsm,45.00,USD,US,US,Overnight,53.95,22.00,USD,1,1,Tracked
GLOBAL-BOXM-11X14,Wall art,Framed prints,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 28x35cm/11x14""",natural,Box,EMA,28x35cm,"11x14""",200gsm,45.00,USD,US,US,Standard,24.80,11.00,USD,1,5,Tracked
GLOBAL-BOXM-11X14,Wall art,Framed prints,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 28x35cm/11x14""",white,Box,EMA,28x35cm,"11x14""",200gsm,45.00,USD,US,US,Budget,24.80,11.00,USD,1,5,Tracked
GLOBAL-BOXM-11X14,Wall art,Framed prints,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 28x35cm/11x14""",white,Box,EMA,28x35cm,"11x14""",200gsm,45.00,USD,US,US,Express,41.00,17.00,USD,1,3,Tracked
GLOBAL-BOXM-11X14,Wall art,Framed prints,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 28x35cm/11x14""",white,Box,EMA,28x35cm,"11x14""",200gsm,45.00,USD,US,US,Overnight,53.95,22.00,USD,1,1,Tracked
GLOBAL-BOXM-11X14,Wall art,Framed prints,"Box Frame, EMA 200gsm Fine Art Print, Mount / Matted, Perspex Glaze, 28x35cm/11x14""",white,Box,EMA,28x35cm,"11x14""",200gsm,45.00,USD,US,US,Standard,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",black,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Budget,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",black,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Express,41.00,17.00,USD,1,3,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",black,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Overnight,53.95,22.00,USD,1,1,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",black,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Standard,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",brown,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Budget,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",brown,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Express,41.00,17.00,USD,1,3,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",brown,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Overnight,53.95,22.00,USD,1,1,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",brown,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Standard,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",dark grey,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Budget,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",dark grey,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Express,41.00,17.00,USD,1,3,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",dark grey,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Overnight,53.95,22.00,USD,1,1,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",dark grey,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Standard,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",gold,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Budget,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",gold,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Express,41.00,17.00,USD,1,3,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",gold,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Overnight,53.95,22.00,USD,1,1,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",gold,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Standard,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",light grey,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Budget,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",light grey,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Express,41.00,17.00,USD,1,3,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",light grey,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Overnight,53.95,22.00,USD,1,1,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",light grey,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Standard,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",natural,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Budget,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",natural,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Express,41.00,17.00,USD,1,3,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",natural,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Overnight,53.95,22.00,USD,1,1,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",natural,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Standard,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",silver,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Budget,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",silver,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Express,41.00,17.00,USD,1,3,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",silver,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Overnight,53.95,22.00,USD,1,1,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",silver,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Standard,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",white,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Budget,24.80,11.00,USD,1,5,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",white,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Express,41.00,17.00,USD,1,3,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",white,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Overnight,53.95,22.00,USD,1,1,Tracked
GLOBAL-CFPM-11X14,Wall art,Framed prints,"Classic Frame, EMA 200gsm Fine Art Print, Mounted / Matted, Perspex Glaze, 28x35cm/11x14""",white,Classic,EMA,28x35cm,"11x14""",200gsm,44.00,USD,US,US,Standard,24.80,11.00,USD,1,5,Tracked
